UID,Year,Location,Competition,Phase,Class,Rank,Bib,Athlete Name,Nation,Gate 1,Gate 2,Gate 3,Gate 4,Gate 5,Gate 6,Gate 7,Gate 8,Gate 9,Gate 10,Gate 11,Gate 12,Gate 13,Gate 14,Gate 15,Gate 16,Gate 17,Gate 18,Gate 19,Gate 20,Gate 21,Gate 22,Gate 23,Gate 24,Gate 25,Raw Time,Total Penalties,Total Time,Heats Format,Raw % Behind,Total % Behind,Year of Birth,Competition ID,Athlete ID,Phase ID
2024 Augsburg World Cup 1 Heat 1 K1W 1,2024,Augsburg,World Cup 1,Heat 1,K1W,1,24,Sona STANOVSKA,SVK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,104.67,0,104.67,Heat 1 Progression,100.00%,100.00%,2000,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Sona STANOVSKA,2024 Augsburg World Cup 1 Heat 1 K1W Sona STANOVSKA
2024 Augsburg World Cup 1 Heat 1 K1W 2,2024,Augsburg,World Cup 1,Heat 1,K1W,2,14,Ana SATILA,BRA,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,,,,105.49,2,107.49,Heat 1 Progression,100.78%,102.69%,1996,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Ana SATILA,2024 Augsburg World Cup 1 Heat 1 K1W Ana SATILA
2024 Augsburg World Cup 1 Heat 1 K1W 3,2024,Augsburg,World Cup 1,Heat 1,K1W,3,9,Eva TERCELJ,SLO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,107.68,0,107.68,Heat 1 Progression,102.88%,102.88%,1992,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Eva TERCELJ,2024 Augsburg World Cup 1 Heat 1 K1W Eva TERCELJ
2024 Augsburg World Cup 1 Heat 1 K1W 4,2024,Augsburg,World Cup 1,Heat 1,K1W,4,2,Ricarda FUNK,GER,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,,,,102,6,108,Heat 1 Progression,97.45%,103.18%,1992,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Ricarda FUNK,2024 Augsburg World Cup 1 Heat 1 K1W Ricarda FUNK
2024 Augsburg World Cup 1 Heat 1 K1W 5,2024,Augsburg,World Cup 1,Heat 1,K1W,5,3,Elena LILIK,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,,,,106.07,2,108.07,Heat 1 Progression,101.34%,103.25%,1998,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Elena LILIK,2024 Augsburg World Cup 1 Heat 1 K1W Elena LILIK
2024 Augsburg World Cup 1 Heat 1 K1W 6,2024,Augsburg,World Cup 1,Heat 1,K1W,6,5,Camille PRIGENT,FRA,-,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,,,,105.71,4,109.71,Heat 1 Progression,100.99%,104.82%,1997,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Camille PRIGENT,2024 Augsburg World Cup 1 Heat 1 K1W Camille PRIGENT
2024 Augsburg World Cup 1 Heat 1 K1W 7,2024,Augsburg,World Cup 1,Heat 1,K1W,7,8,Tereza FISEROVA,CZE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,109.86,0,109.86,Heat 1 Progression,104.96%,104.96%,1998,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Tereza FISEROVA,2024 Augsburg World Cup 1 Heat 1 K1W Tereza FISEROVA
2024 Augsburg World Cup 1 Heat 1 K1W 8,2024,Augsburg,World Cup 1,Heat 1,K1W,8,18,Amalie HILGERTOVA,CZE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,,,,108.02,2,110.02,Heat 1 Progression,103.20%,105.11%,1997,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Amalie HILGERTOVA,2024 Augsburg World Cup 1 Heat 1 K1W Amalie HILGERTOVA
2024 Augsburg World Cup 1 Heat 1 K1W 9,2024,Augsburg,World Cup 1,Heat 1,K1W,9,21,Emma VUITTON,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,,,,108.15,2,110.15,Heat 1 Progression,103.32%,105.24%,2003,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Emma VUITTON,2024 Augsburg World Cup 1 Heat 1 K1W Emma VUITTON
2024 Augsburg World Cup 1 Heat 1 K1W 10,2024,Augsburg,World Cup 1,Heat 1,K1W,10,4,Klaudia ZWOLINSKA,POL,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,,,,108.4,2,110.4,Heat 1 Progression,103.56%,105.47%,1998,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Klaudia ZWOLINSKA,2024 Augsburg World Cup 1 Heat 1 K1W Klaudia ZWOLINSKA
2024 Augsburg World Cup 1 Heat 1 K1W 11,2024,Augsburg,World Cup 1,Heat 1,K1W,11,1,Jessica FOX,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,,,,107.18,4,111.18,Heat 1 Progression,102.40%,106.22%,1994,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Jessica FOX,2024 Augsburg World Cup 1 Heat 1 K1W Jessica FOX
2024 Augsburg World Cup 1 Heat 1 K1W 11,2024,Augsburg,World Cup 1,Heat 1,K1W,11,6,Stefanie HORN,ITA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,,,,109.18,2,111.18,Heat 1 Progression,104.31%,106.22%,1991,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Stefanie HORN,2024 Augsburg World Cup 1 Heat 1 K1W Stefanie HORN
2024 Augsburg World Cup 1 Heat 1 K1W 13,2024,Augsburg,World Cup 1,Heat 1,K1W,13,20,Lena TEUNISSEN,NED,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,110.22,2,112.22,Heat 1 Progression,105.30%,107.21%,1997,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Lena TEUNISSEN,2024 Augsburg World Cup 1 Heat 1 K1W Lena TEUNISSEN
2024 Augsburg World Cup 1 Heat 1 K1W 14,2024,Augsburg,World Cup 1,Heat 1,K1W,14,7,Mallory FRANKLIN,GBR,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,108.95,4,112.95,Heat 1 Progression,104.09%,107.91%,1994,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Mallory FRANKLIN,2024 Augsburg World Cup 1 Heat 1 K1W Mallory FRANKLIN
2024 Augsburg World Cup 1 Heat 1 K1W 15,2024,Augsburg,World Cup 1,Heat 1,K1W,15,12,Evy LEIBFARTH,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,,,,109.05,4,113.05,Heat 1 Progression,104.18%,108.01%,2004,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Evy LEIBFARTH,2024 Augsburg World Cup 1 Heat 1 K1W Evy LEIBFARTH
2024 Augsburg World Cup 1 Heat 1 K1W 16,2024,Augsburg,World Cup 1,Heat 1,K1W,16,10,Monica DORIA,AND,-,-,-,-,-,2,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,,,,107.68,6,113.68,Heat 1 Progression,102.88%,108.61%,2000,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Monica DORIA,2024 Augsburg World Cup 1 Heat 1 K1W Monica DORIA
2024 Augsburg World Cup 1 Heat 1 K1W 17,2024,Augsburg,World Cup 1,Heat 1,K1W,17,13,Eva Alina HOCEVAR,SLO,-,2,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,,,,108.13,6,114.13,Heat 1 Progression,103.31%,109.04%,2002,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Eva Alina HOCEVAR,2024 Augsburg World Cup 1 Heat 1 K1W Eva Alina HOCEVAR
2024 Augsburg World Cup 1 Heat 1 K1W 18,2024,Augsburg,World Cup 1,Heat 1,K1W,18,16,Noemie FOX,AUS,-,-,-,-,-,-,-,2,-,2,-,-,2,-,-,-,-,-,-,-,-,-,,,,108.46,6,114.46,Heat 1 Progression,103.62%,109.35%,1997,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Noemie FOX,2024 Augsburg World Cup 1 Heat 1 K1W Noemie FOX
2024 Augsburg World Cup 1 Heat 1 K1W 19,2024,Augsburg,World Cup 1,Heat 1,K1W,19,17,Viktoria WOLFFHARDT,AUT,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,113.08,2,115.08,Heat 1 Progression,108.03%,109.95%,1994,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Viktoria WOLFFHARDT,2024 Augsburg World Cup 1 Heat 1 K1W Viktoria WOLFFHARDT
2024 Augsburg World Cup 1 Heat 1 K1W 20,2024,Augsburg,World Cup 1,Heat 1,K1W,20,50,Antonia PLOCHMANN,GER,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,,,,111.13,4,115.13,Heat 1 Progression,106.17%,109.99%,2003,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Antonia PLOCHMANN,2024 Augsburg World Cup 1 Heat 1 K1W Antonia PLOCHMANN
2024 Augsburg World Cup 1 Heat 1 K1W 21,2024,Augsburg,World Cup 1,Heat 1,K1W,21,27,Ria SRIBAR,USA,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2,-,-,,,,111.25,4,115.25,Heat 1 Progression,106.29%,110.11%,2003,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Ria SRIBAR,2024 Augsburg World Cup 1 Heat 1 K1W Ria SRIBAR
2024 Augsburg World Cup 1 Heat 1 K1W 22,2024,Augsburg,World Cup 1,Heat 1,K1W,22,15,Kimberley WOODS,GBR,-,2,-,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,-,-,-,-,,,,108.04,8,116.04,Heat 1 Progression,103.22%,110.86%,1995,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Kimberley WOODS,2024 Augsburg World Cup 1 Heat 1 K1W Kimberley WOODS
2024 Augsburg World Cup 1 Heat 1 K1W 23,2024,Augsburg,World Cup 1,Heat 1,K1W,23,25,Carole BOUZIDI,ALG,-,2,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,112.15,4,116.15,Heat 1 Progression,107.15%,110.97%,1985,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Carole BOUZIDI,2024 Augsburg World Cup 1 Heat 1 K1W Carole BOUZIDI
2024 Augsburg World Cup 1 Heat 1 K1W 24,2024,Augsburg,World Cup 1,Heat 1,K1W,24,29,Lois LEAVER,GBR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,,,,115.18,2,117.18,Heat 1 Progression,110.04%,111.95%,2002,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Lois LEAVER,2024 Augsburg World Cup 1 Heat 1 K1W Lois LEAVER
2024 Augsburg World Cup 1 Heat 1 K1W 25,2024,Augsburg,World Cup 1,Heat 1,K1W,25,37,Katerina BEKOVA,CZE,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,113.39,4,117.39,Heat 1 Progression,108.33%,112.15%,2002,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Katerina BEKOVA,2024 Augsburg World Cup 1 Heat 1 K1W Katerina BEKOVA
2024 Augsburg World Cup 1 Heat 1 K1W 26,2024,Augsburg,World Cup 1,Heat 1,K1W,26,30,Aki YAZAWA,JPN,-,2,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,,,,113.15,6,119.15,Heat 1 Progression,108.10%,113.83%,1991,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Aki YAZAWA,2024 Augsburg World Cup 1 Heat 1 K1W Aki YAZAWA
2024 Augsburg World Cup 1 Heat 1 K1W 27,2024,Augsburg,World Cup 1,Heat 1,K1W,27,33,Hannah THOMAS,NZL,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,117.47,2,119.47,Heat 1 Progression,112.23%,114.14%,2001,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Hannah THOMAS,2024 Augsburg World Cup 1 Heat 1 K1W Hannah THOMAS
2024 Augsburg World Cup 1 Heat 1 K1W 28,2024,Augsburg,World Cup 1,Heat 1,K1W,28,31,Omira ESTACIA NETA,BRA,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,117.84,2,119.84,Heat 1 Progression,112.58%,114.49%,2000,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Omira ESTACIA NETA,2024 Augsburg World Cup 1 Heat 1 K1W Omira ESTACIA NETA
2024 Augsburg World Cup 1 Heat 1 K1W 29,2024,Augsburg,World Cup 1,Heat 1,K1W,29,35,Madison CORCORAN,IRL,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,116.13,4,120.13,Heat 1 Progression,110.95%,114.77%,2002,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Madison CORCORAN,2024 Augsburg World Cup 1 Heat 1 K1W Madison CORCORAN
2024 Augsburg World Cup 1 Heat 1 K1W 30,2024,Augsburg,World Cup 1,Heat 1,K1W,30,23,Ajda NOVAK,SLO,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,,,,114.7,6,120.7,Heat 1 Progression,109.58%,115.31%,1993,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Ajda NOVAK,2024 Augsburg World Cup 1 Heat 1 K1W Ajda NOVAK
2024 Augsburg World Cup 1 Heat 1 K1W 31,2024,Augsburg,World Cup 1,Heat 1,K1W,31,36,Laura PELLICER CHICA,AND,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,,,,119.78,4,123.78,Heat 1 Progression,114.44%,118.26%,1998,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Laura PELLICER CHICA,2024 Augsburg World Cup 1 Heat 1 K1W Laura PELLICER CHICA
2024 Augsburg World Cup 1 Heat 1 K1W 32,2024,Augsburg,World Cup 1,Heat 1,K1W,32,32,Tong LI,CHN,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,119.92,4,123.92,Heat 1 Progression,114.57%,118.39%,1988,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Tong LI,2024 Augsburg World Cup 1 Heat 1 K1W Tong LI
2024 Augsburg World Cup 1 Heat 1 K1W 33,2024,Augsburg,World Cup 1,Heat 1,K1W,33,34,Ivana CHLEBOVA,SVK,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,-,-,,,,119.93,4,123.93,Heat 1 Progression,114.58%,118.40%,2003,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Ivana CHLEBOVA,2024 Augsburg World Cup 1 Heat 1 K1W Ivana CHLEBOVA
2024 Augsburg World Cup 1 Heat 1 K1W 34,2024,Augsburg,World Cup 1,Heat 1,K1W,34,38,Lea BALDONI,CAN,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,121.11,4,125.11,Heat 1 Progression,115.71%,119.53%,2002,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Lea BALDONI,2024 Augsburg World Cup 1 Heat 1 K1W Lea BALDONI
2024 Augsburg World Cup 1 Heat 1 K1W 35,2024,Augsburg,World Cup 1,Heat 1,K1W,35,28,Georgina COLLIN,AUS,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,2,2,2,-,,,,116.23,10,126.23,Heat 1 Progression,111.04%,120.60%,1997,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Georgina COLLIN,2024 Augsburg World Cup 1 Heat 1 K1W Georgina COLLIN
2024 Augsburg World Cup 1 Heat 1 K1W 36,2024,Augsburg,World Cup 1,Heat 1,K1W,36,43,Sofia REINOSO,MEX,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,,,,123.43,4,127.43,Heat 1 Progression,117.92%,121.74%,1996,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Sofia REINOSO,2024 Augsburg World Cup 1 Heat 1 K1W Sofia REINOSO
2024 Augsburg World Cup 1 Heat 1 K1W 37,2024,Augsburg,World Cup 1,Heat 1,K1W,37,40,Svenja MATTI,SUI,-,-,-,-,-,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,,,,124.83,6,130.83,Heat 1 Progression,119.26%,124.99%,2002,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Svenja MATTI,2024 Augsburg World Cup 1 Heat 1 K1W Svenja MATTI
2024 Augsburg World Cup 1 Heat 1 K1W 38,2024,Augsburg,World Cup 1,Heat 1,K1W,38,51,Xueting XIE,CHN,-,-,-,-,-,-,-,2,2,-,2,2,-,2,-,-,-,-,-,2,-,-,,,,121.5,12,133.5,Heat 1 Progression,116.08%,127.54%,2005,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Xueting XIE,2024 Augsburg World Cup 1 Heat 1 K1W Xueting XIE
2024 Augsburg World Cup 1 Heat 1 K1W 39,2024,Augsburg,World Cup 1,Heat 1,K1W,39,49,Haizea SEGURA,ESP,-,2,-,-,-,-,-,2,-,2,-,-,-,-,2,-,-,-,-,2,-,-,,,,124.64,10,134.64,Heat 1 Progression,119.08%,128.63%,2007,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Haizea SEGURA,2024 Augsburg World Cup 1 Heat 1 K1W Haizea SEGURA
2024 Augsburg World Cup 1 Heat 1 K1W 40,2024,Augsburg,World Cup 1,Heat 1,K1W,40,45,Yekaterina TARANTSEVA,KAZ,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,,,,140.6,4,144.6,Heat 1 Progression,134.33%,138.15%,2007,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Yekaterina TARANTSEVA,2024 Augsburg World Cup 1 Heat 1 K1W Yekaterina TARANTSEVA
2024 Augsburg World Cup 1 Heat 1 K1W 41,2024,Augsburg,World Cup 1,Heat 1,K1W,41,44,Maite ODRIOZOLA,ESP,-,-,-,-,-,-,-,-,2,2,-,2,-,-,2,2,-,-,-,-,-,-,,,,138.82,10,148.82,Heat 1 Progression,132.63%,142.18%,2004,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Maite ODRIOZOLA,2024 Augsburg World Cup 1 Heat 1 K1W Maite ODRIOZOLA
2024 Augsburg World Cup 1 Heat 1 K1W 42,2024,Augsburg,World Cup 1,Heat 1,K1W,42,41,Shunfang WAN,CHN,-,2,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,,,,141.35,8,149.35,Heat 1 Progression,135.04%,142.69%,2001,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Shunfang WAN,2024 Augsburg World Cup 1 Heat 1 K1W Shunfang WAN
2024 Augsburg World Cup 1 Heat 1 K1W 43,2024,Augsburg,World Cup 1,Heat 1,K1W,43,42,Jaimee WILSON,NZL,-,2,2,-,-,-,-,-,2,-,-,2,-,-,2,2,-,-,2,2,-,-,,,,137.83,16,153.83,Heat 1 Progression,131.68%,146.97%,2001,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Jaimee WILSON,2024 Augsburg World Cup 1 Heat 1 K1W Jaimee WILSON
2024 Augsburg World Cup 1 Heat 1 K1W 44,2024,Augsburg,World Cup 1,Heat 1,K1W,44,11,Corinna KUHNLE,AUT,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,2,-,-,,,,106.24,52,158.24,Heat 1 Progression,101.50%,151.18%,1987,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Corinna KUHNLE,2024 Augsburg World Cup 1 Heat 1 K1W Corinna KUHNLE
2024 Augsburg World Cup 1 Heat 1 K1W 45,2024,Augsburg,World Cup 1,Heat 1,K1W,45,26,Chiara SABATTINI,ITA,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2,50,-,-,,,,109.27,54,163.27,Heat 1 Progression,104.39%,155.99%,1993,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Chiara SABATTINI,2024 Augsburg World Cup 1 Heat 1 K1W Chiara SABATTINI
2024 Augsburg World Cup 1 Heat 1 K1W 46,2024,Augsburg,World Cup 1,Heat 1,K1W,46,46,Iris SOMMERNES,NOR,-,-,-,2,-,-,-,-,-,2,-,-,-,2,-,2,-,-,-,2,-,-,,,,155.43,10,165.43,Heat 1 Progression,148.50%,158.05%,2003,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Iris SOMMERNES,2024 Augsburg World Cup 1 Heat 1 K1W Iris SOMMERNES
2024 Augsburg World Cup 1 Heat 1 K1W 47,2024,Augsburg,World Cup 1,Heat 1,K1W,47,19,Laia SORRIBES,ESP,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,50,-,,,,119.3,54,173.3,Heat 1 Progression,113.98%,165.57%,1999,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Laia SORRIBES,2024 Augsburg World Cup 1 Heat 1 K1W Laia SORRIBES
2024 Augsburg World Cup 1 Heat 1 K1W 48,2024,Augsburg,World Cup 1,Heat 1,K1W,48,47,Oleksandra HORLOVA,UKR,-,2,-,-,-,-,2,-,-,-,-,2,-,-,-,-,2,-,50,-,2,-,,,,138.21,60,198.21,Heat 1 Progression,132.04%,189.37%,2004,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Oleksandra HORLOVA,2024 Augsburg World Cup 1 Heat 1 K1W Oleksandra HORLOVA
2024 Augsburg World Cup 1 Heat 1 K1W 49,2024,Augsburg,World Cup 1,Heat 1,K1W,49,22,Coline CHAREL,FRA,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,50,50,-,-,,,,115.75,104,219.75,Heat 1 Progression,110.59%,209.95%,2000,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Coline CHAREL,2024 Augsburg World Cup 1 Heat 1 K1W Coline CHAREL
2024 Augsburg World Cup 1 Heat 1 K1W 50,2024,Augsburg,World Cup 1,Heat 1,K1W,50,48,Emilie ARMANI,ECU,-,2,-,-,-,-,-,2,2,-,-,2,2,-,2,-,2,-,-,-,-,-,,,,213.72,14,227.72,Heat 1 Progression,204.18%,217.56%,2000,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Emilie ARMANI,2024 Augsburg World Cup 1 Heat 1 K1W Emilie ARMANI
2024 Augsburg World Cup 1 Heat 2 K1W 1,2024,Augsburg,World Cup 1,Heat 2,K1W,1,15,Kimberley WOODS,GBR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,105.02,0,105.02,Heat 1 Progression,100.00%,100.00%,1995,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Kimberley WOODS,2024 Augsburg World Cup 1 Heat 2 K1W Kimberley WOODS
2024 Augsburg World Cup 1 Heat 2 K1W 2,2024,Augsburg,World Cup 1,Heat 2,K1W,2,23,Ajda NOVAK,SLO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,107.62,0,107.62,Heat 1 Progression,102.48%,102.48%,1993,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Ajda NOVAK,2024 Augsburg World Cup 1 Heat 2 K1W Ajda NOVAK
2024 Augsburg World Cup 1 Heat 2 K1W 3,2024,Augsburg,World Cup 1,Heat 2,K1W,3,11,Corinna KUHNLE,AUT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,109.07,0,109.07,Heat 1 Progression,103.86%,103.86%,1987,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Corinna KUHNLE,2024 Augsburg World Cup 1 Heat 2 K1W Corinna KUHNLE
2024 Augsburg World Cup 1 Heat 2 K1W 4,2024,Augsburg,World Cup 1,Heat 2,K1W,4,26,Chiara SABATTINI,ITA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,110.81,0,110.81,Heat 1 Progression,105.51%,105.51%,1993,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Chiara SABATTINI,2024 Augsburg World Cup 1 Heat 2 K1W Chiara SABATTINI
2024 Augsburg World Cup 1 Heat 2 K1W 5,2024,Augsburg,World Cup 1,Heat 2,K1W,5,22,Coline CHAREL,FRA,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,109.06,2,111.06,Heat 1 Progression,103.85%,105.75%,2000,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Coline CHAREL,2024 Augsburg World Cup 1 Heat 2 K1W Coline CHAREL
2024 Augsburg World Cup 1 Heat 2 K1W 6,2024,Augsburg,World Cup 1,Heat 2,K1W,6,37,Katerina BEKOVA,CZE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,112.48,0,112.48,Heat 1 Progression,107.10%,107.10%,2002,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Katerina BEKOVA,2024 Augsburg World Cup 1 Heat 2 K1W Katerina BEKOVA
2024 Augsburg World Cup 1 Heat 2 K1W 7,2024,Augsburg,World Cup 1,Heat 2,K1W,7,27,Ria SRIBAR,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,,,,112.08,2,114.08,Heat 1 Progression,106.72%,108.63%,2003,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Ria SRIBAR,2024 Augsburg World Cup 1 Heat 2 K1W Ria SRIBAR
2024 Augsburg World Cup 1 Heat 2 K1W 8,2024,Augsburg,World Cup 1,Heat 2,K1W,8,28,Georgina COLLIN,AUS,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,2,-,-,-,,,,109.01,6,115.01,Heat 1 Progression,103.80%,109.51%,1997,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Georgina COLLIN,2024 Augsburg World Cup 1 Heat 2 K1W Georgina COLLIN
2024 Augsburg World Cup 1 Heat 2 K1W 9,2024,Augsburg,World Cup 1,Heat 2,K1W,9,29,Lois LEAVER,GBR,-,2,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,,,,107.19,8,115.19,Heat 1 Progression,102.07%,109.68%,2002,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Lois LEAVER,2024 Augsburg World Cup 1 Heat 2 K1W Lois LEAVER
